,manufacturer,car_name,year,no_of_owners,kms_driven,city,transmission,mileage,fuel_type,mode_of_sale,seats,engine,max_power,price,links
257,Ford,Ecosport,2016,First,"73,000",lucknow,Manual,22.77,Diesel,Individual,5,1498,98.59,6,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-TDCi-Trend-Plus-BSIV-cars-Lucknow_29B4AC8D12711F032154442DA66FFFDF.htm
258,Toyota,Etios,2014,First,"84,715",lucknow,Manual,23.59,Diesel,Dealer,5,1364,67.04,4.25,https://www.cardekho.com/used-car-details/used-Toyota-Etios-2013-2014-GD-cars-Lucknow_88CFAC50748689E64785AE384B805C6D.htm
259,Daewoo,Matiz,2002,First,"59,313",lucknow,Manual,18.5,Petrol,Dealer,5,796,53,"65,000",https://www.cardekho.com/used-car-details/used-Daewoo-Matiz-SS-cars-Lucknow_273FA00C752D80FD820FE97B4246DEB3.htm
260,Maruti,Alto,2013,First,"51,222",lucknow,Manual,22.74,Petrol,Dealer,5,796,47.3,2.6,https://www.cardekho.com/used-car-details/used-Maruti-Alto-800-2012-2016-LXI-cars-Lucknow_FB3498C269B68D06574ED6BF5192B874.htm
261,Hyundai,i20,2015,First,"33,000",lucknow,Manual,18.5,Petrol,Dealer,5,1197,82.85,6.25,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2012-2014-Asta-1.2-cars-Lucknow_A70A0B8D32271FE8140C15986EDC3A62.htm
262,Maruti,Wagon,2011,First,"65,122",lucknow,Manual,14.6 ,LPG,Dealer,5,998,61.6,2.35,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-DUO-LPG-cars-Lucknow_733285A0B5E37D03A1D3471860CF8385.htm
263,Hyundai,i20,2016,First,"94,000",lucknow,Manual,21.19,Diesel,Dealer,5,1396,88.73,6.9,https://www.cardekho.com/used-car-details/used-Hyundai-i20-Active-1.4-SX-cars-Lucknow_5934EB4E1088E23CE8DD35FFF3F81AFD.htm
264,Maruti,Ciaz,2019,First,"26,000",gurgaon,Automatic,20.28,Petrol,Individual,5,1462,103.25,9.5,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Zeta-Automatic-BSIV-cars-Gurgaon_CEB818CAC3958C3575EBEB8C83DFF0AC.htm
265,Mercedes-Benz,E-Class,2017,First,"55,000",gurgaon,Automatic,17.0,Diesel,Dealer,5,2987,254.8,39,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-E-Class-E-350d-cars-Gurgaon_570F19418870119715B251D01B1BA423.htm
266,BMW,3,2019,First,"8,000",gurgaon,Automatic,15.34,Petrol,Dealer,5,1998,248,47.5,https://www.cardekho.com/used-car-details/used-BMW-3-Series-GT-M-Sport-Petrol-cars-Gurgaon_3AC7FF086DD688D1B994E88930A1A573.htm
267,Hyundai,Venue,2019,First,"20,000",gurgaon,Automatic,18.15,Petrol,Dealer,5,998,118.35,10.75,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-SX-Plus-Turbo-DCT-DT-cars-Gurgaon_0AF4727B0E9728A565716633DFF661EC.htm
268,Hyundai,Grand,2019,First,"25,000",gurgaon,Manual,18.9,Petrol,Dealer,5,1197,81.86,5.65,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Asta-cars-Gurgaon_F04C33683E8AE85BCD3585B7C95CC0D3.htm
269,Hyundai,Verna,2014,First,"36,877",gurgaon,Manual,17.1,Petrol,Dealer,5,1591,121.3,5.2,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-(O)-cars-Gurgaon_82B65587962B53246F83F9A667C1B729.htm
270,Maruti,Baleno,2016,First,"45,000",gurgaon,Automatic,21.4,Petrol,Dealer,5,1197,83.1,5.65,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-CVT-Zeta-cars-Gurgaon_01C9A07958ADC16A2FFB2666BE906E96.htm
271,Honda,WR-V,2019,First,"10,623",gurgaon,Manual,17.5,Petrol,Dealer,5,1199,88.7,8.7,https://www.cardekho.com/used-car-details/used-Honda-WRV-2017-2020-i-VTEC-VX-cars-Gurgaon_FA8979F6CED492CA38AA9755C101CABE.htm
272,Maruti,Wagon,2018,First,"2,100",gurgaon,Manual,20.51,Petrol,Dealer,5,998,67.04,4.35,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-VXI-BS-IV-cars-Gurgaon_0EF3DFE137BA77ECA60681D1AF1C191A.htm
273,Audi,Q3,2018,First,"7,000",gurgaon,Automatic,16.9,Petrol,Dealer,5,1395,147.51,28,https://www.cardekho.com/used-car-details/used-Audi-Q3-30-TFSI-Premium-FWD-cars-Gurgaon_AEB2D3D2A224BB1A7D2B0A8A945AF014.htm
274,Maruti,Swift,2015,First,"26,000",gurgaon,Manual,21.21,Petrol,Dealer,5,1197,81.80,4.5,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VXI-cars-Gurgaon_E8B700A875EE0101B91E01D33565F00D.htm
275,Honda,Mobilio,2014,First,"1,21,500",gurgaon,Manual,24.2,Diesel,Dealer,7,1498,98.6,4.1,https://www.cardekho.com/used-car-details/used-Honda-Mobilio-V-i-DTEC-cars-Gurgaon_64F39597E1BC0F2D4BD15DDE9E0C7183.htm
276,Maruti,Swift,2015,First,"55,000",gurgaon,Manual,21.21,Petrol,Dealer,5,1197,81.80,3.95,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VXI-cars-Gurgaon_AE5E2079F7FC92D959FD4875C40D9E48.htm
277,Maruti,Baleno,2018,First,"22,312",gurgaon,Manual,21.4,Petrol,Dealer,5,1197,83.1,5.95,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Delta-cars-Gurgaon_2062CF4133EB3E1D3455FB84048774AC.htm
278,Maruti,Swift,2012,First,"65,000",gurgaon,Manual,23.4,Diesel,Dealer,5,1248,74,3.25,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-VDI-cars-Gurgaon_3569EA89C06320A7615204F92DDDC33D.htm
279,Hyundai,i10,2013,First,"46,000",gurgaon,Manual,20.36,Petrol,Dealer,5,1197,78.9,2.75,https://www.cardekho.com/used-car-details/used-Hyundai-i10-Sportz-cars-Gurgaon_BC401B0862CE47C1152FA354E32512D0.htm
280,Ford,Endeavour,2018,Second,"70,000",gurgaon,Automatic,10.91,Diesel,Dealer,7,3198,197,27,https://www.cardekho.com/used-car-details/used-Ford-Endeavour-2015-2020-3.2-Titanium-AT-4X4-cars-Gurgaon_F58FC594E06283CA9170167F0333F4D7.htm
281,Toyota,Fortuner,2018,First,"65,000",gurgaon,Automatic,12.9,Diesel,Dealer,7,2755,174.5,28.5,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-2016-2021-2.8-2WD-AT-BSIV-cars-Gurgaon_A3D93FAFA664CF61E46C3C029D1349DA.htm
282,Honda,City,2018,First,"58,868",gurgaon,Manual,17.4,Petrol,Dealer,5,1497,117.6,8.45,https://www.cardekho.com/used-car-details/used-Honda-City-2017-2020-i-VTEC-V-cars-Gurgaon_D219411F89C82915E9E30A49E6A0A233.htm
283,BMW,6,2019,First,"7,500",gurgaon,Automatic,14.28,Petrol,Dealer,4,1998,254.7,57,https://www.cardekho.com/used-car-details/used-BMW-6-Series-GT-630i-Luxury-Line-cars-Gurgaon_6C121904E4160F89679FFE0D058D3CB1.htm
284,Maruti,Swift,2013,First,"67,929",kochi,Manual,23.4,Diesel,Individual,5,1248,74,4.25,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2011-2014-VDI-cars-Kochi_92AE94C9A5D808E7820243AEFD1EE0E1.htm
285,Ford,Figo,2017,Second,"1,00,000",kochi,Manual,25.83,Diesel,Individual,5,1498,99,4.45,https://www.cardekho.com/used-car-details/used-Ford-Aspire-1.5-TDCi-Titanium-cars-Kochi_2E3748A8D5628D585761AF4B4A603C09.htm
286,Renault,Pulse,2014,First,"58,000",kochi,Manual,23.08,Diesel,Individual,5,1461,63.12,3.71,https://www.cardekho.com/used-car-details/used-Renault-Pulse-2012-2014-RxZ-cars-Kochi_1692FFE189572F7E5B5D8B34E8D38D65.htm
